LB,SMILES,Exp
269,C1=CC=C(C=C1)N(C=O)C2=CC=CC=C2,102.45
270,CN(C)C(=O)C(C)(C)C,102.73
271,CN(C)C(=O)C1=CC=C(C=C1)[N+](=O)[O-],104.2
272,CN(C)C(=O)C1=CC=C(C=C1)C(F)(F)F,108.38
273,CN(C)C(=O)C1=CC=C(C=C1)Br,108.78
274,CN1CCN(C1=O)C,108.93
275,CN(C)C(=O)C1=CC=C(C=C1)F,110.08
276,CN(C=O)C1=CC=CC=C1,110.83
277,CN(C)C(=O)C1=CC=CC=C1,111.75
278,CC1=CC=C(C=C1)C(=O)N(C)C,112.7
279,CN(C)C(=O)C1=CC=C(C=C1)OC,113.19
280,CN(C)C(=O)N(C)C,118.62
281,CN(C)C(=O)C1=CC=C(C=C1)N(C)C,118.76
282,CN(C)C=O,120.49
283,CCC(=O)N(C)C,120.56
284,CN1CCCCCC1=O,121.42
285,CC(C)N1CCCC1=O,122.08
286,CN1CCCN(C)C1=O,122.13
287,CN(C)C(C)=O,122.14
288,CN1CCCC1=O,122.56
289,CCN(CC)C=O,123.2
290,CCN(CC)C(C)=O,123.61
291,O=CN1CCCCC1,124.16
292,CN1C=CC=CC1=O,126.94
293,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=C1)N(=O)=O,118.34
294,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=C1)C#N,120.83
295,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=C1)C(F)(F)F,122.86
296,C[N+](C)(C)[N-]C(=O)C1=CC=C(Br)C=C1,123.14
297,C[N+](C)(C)[N-]C(=O)C1=CC=C(F)C=C1,123.36
298,C[N+](C)(C)[N-]C(=O)C1=CC=CC=C1,125.96
299,CC1=CC=C(C=C1)C(=O)[N-][N+](C)(C)C,126.9
300,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=O)C=C1,127.57
301,CC(=O)[N-][N+](C)(C)C,139.33
302,C[N+]([O-])=O,47.63
303,[O-][N+](=O)C1=CC=CC=C1,45.79
304,C1COS(=O)O1,60
305,COS(=O)OC,61.27
306,C1CCS(=O)(=O)C1,61.32
307,CCN(CC)S(=O)(=O)N(CC)CC,65.08
308,CCOS(=O)OCC,65.13
309,O=S(C1=CC=CC=C1)C1=CC=CC=C1,100.34
310,CS(=O)C1=CC=CC=C1,107.37
311,CS(C)=O,115.34
312,CCCCS(=O)CCCC,117.6
313,C1CCS(=O)C1,118.1
314,O=P1(OC2=CC=CC=C2)OCC(CO1)(C1=CC=CC=C1)C1=CC=CC=C1,75.3
315,P(=O)(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,76.41
316,ClP1(OCC(CO1)(C1=CC=CC=C1)C1=CC=CC=C1)=O,77
317,O(C1=CC=CC=C1)P1(OCC(CO1)(C)C)=O,83.12
318,O(C1=CC=CC=C1)P1(OCC(O1)C)=O,84.77
319,O(C1=CC=CC=C1)P1(OCCO1)=O,86.57
320,O(C1=CC=CC=C1)P1(OCCC(O1)C)=O,86.7
321,ClP1(OCC(CO1)(C)C)=O,88.1
322,CC1CC(C)(C)OP(=O)(OC2=CC=CC=C2)O1,89.6
323,O(C1=CC=CC=C1)P1(OCCCO1)=O,92
324,C(C)OP1(OCC(CO1)(C)C)=O,92.09
325,COP1(=O)OCC(C)(C)CO1,92.25
326,C(C)OP1(OCCO1)=O,93.62
327,C1(=CC=CC=C1)P1(OCC(CO1)(C1=CC=CC=C1)C1=CC=CC=C1)=O,94.4
328,P(=O)(OC)(OC)OC,94.75
329,C1(=CC=CC=C1)P1(OCC(CO1)(C)C)=O,96
330,COP1(OCCO1)=O,96.07
331,C(C)OP(=O)(OCC)C1=CC(CC(C1)(C)C)=O,97.36
332,CN(P1(OCC(CO1)(C1=CC=CC=C1)C1=CC=CC=C1)=O)C,97.8
333,C1(=CC=CC=C1)P1(OCCCO1)=O,99
334,C1(=CC=CC=C1)P1(OCCO1)=O,99.2
335,C(C)(C)OP(OC(C)C)=O,99.56
336,CN(P1(OCCO1)=O)C,101.12
337,CN(P1(OCC(CO1)(C)C)=O)C,102.5
338,C1(=CC=CC=C1)P(C1=CC=CC=C1)(C1=CC=CC=C1)=O,113.3
339,CN(P(N(C)C)(N(C)C)=O)C,127.53
340,N1(CCCCC1)P(N1CCCCC1)(N1CCCCC1)=O,128.14
341,C(C)P(CC)(CC)=O,129.28
342,CP(C)(C)=O,129.68
343,N1(CCCC1)P(N1CCCC1)(N1CCCC1)=O,132.52
344,C1CCSC1,61.62
345,CN(C(=S)N(C)C)C,70.96
346,CC1(C)COP(=S)(OC2=CC=CC=C2)OC1,76.8
347,CC1CC(OP(=S)(O1)OC2=CC=CC=C2)(C)C,77.4
348,CP(C)C,107.43
