LB,SMILES,Exp,DFT,Pred
123,CC1CCC(C)C1=O,70.64,67.19897999999999,64.25889
124,CC1(C)CCCCC1=O,73.93,78.4650005,69.87521
125,CC1CC(=O)C(C)(C)C1,75.09,79.397053,69.390564
126,CC1(C)CCCC1=O,75.25,79.2841565,70.82107
127,CC1CCCCC1=O,76.03,78.352104,73.68982
128,O=C1CCCCC1,76.36,77.29140199999999,70.22647
129,CC1CC(=O)CC(C)(C)C1,76.97,78.62515599999999,76.951256
130,O=C1CC2CCC1C2,77.22,80.074432,70.16368
131,CC1CCCC1=O,77.22,78.8010645,69.677986
132,CC1CCCC(=O)C1,77.3,75.369536,75.57416
133,O=C1CCCC1,77.44,77.1732545,66.33145
134,CC1CC(C)(C)CC1=O,77.5,77.99766149999999,80.22791
135,CC1CCC(=O)CC1,77.51,77.4200515,75.3987
136,O=C1CCCCCC1,77.57,79.4836945,69.07513
137,CC1CCC(=O)C1C,77.6,73.28488899999999,77.92326
138,O=C1CCC2CCC1C2,77.71,77.80862549999999,71.19441
139,CC1(C)C2(C)CCC1(CC2=O)[N+]([O-])=O,63.65,68.78469068272155,60.339916
140,CC1(C)C2(C)CCC1(CC2=O)C#N,64.99,70.73556592561405,70.77832
141,CC1(C)C2(C)CCC1(Br)CC2=O,67.73,72.260944,73.16684
142,CC1(C)C2(C)CCC1(Cl)CC2=O,68.2,72.72828299999999,72.03032
144,CC(=O)OC12CCC(C)(C(=O)C1)C2(C)C,71.17,77.40348192201766,89.2697
145,COC(=O)C12CCC(C)(C(=O)C1)C2(C)C,71.71,77.3962289360164,73.49332
146,CC1(C)C2(C)CCC1(CC2=O)C#C,71.96,77.2257645,67.8136
147,COC12CCC(C)(C(=O)C1)C2(C)C,72.55,80.34223124760452,74.90838
148,CC1(C)C2(C)CCC1(CC2=O)C1=CC=CC=C1,74.59,81.79675999999999,86.35291
149,CC1(C)C2(C)CCC1(CC2=O)C=C,75.37,80.363237,79.872574
150,CC1(C)C2CCC1(C)C(=O)C2,77.23,81.297915,75.18413
151,CC12CCC(C)(C(=O)C1)C2(C)C,77.48,83.0071155,76.17963
152,CCC12CCC(C)(C(=O)C1)C2(C)C,78.19,83.2749165,78.37091
153,CCCC(=O)C1=CC(=CC=C1)[N+]([O-])=O,62.78,52.57655840385837,76.31556
154,CC(=O)C1=CC(=CC=C1)[N+]([O-])=O,65.1,64.78861033822376,65.34923
155,CC(=O)C1=CC=C(C=C1)[N+]([O-])=O,67.07,63.281541892072845,67.4056
156,CC(=O)C1=CC=C(C=C1)C#N,67.08,65.47560289174474,54.50312
157,O=C(CC1=CC=CC=C1)C1=CC=CC=C1,67.1,57.9703475,68.35167
158,CCC(=O)C1=CC=C(Br)C=C1,68.29,76.0967995,69.13298
159,CCC(=O)C1=CC=C(Cl)C=C1,68.74,58.5059495,69.47935
160,COC(=O)C1=CC=CC(=C1)C(C)=O,68.8,71.51997368004201,70.25955
161,CCC(=O)C1=CC=CC=C1,70.31,60.79276,75.13641
