ids,y,LB,DFT_Rank,Pred,GNN_Rank
319_4,76.7636765,319,1.0,54.428337,1.0
32_1,121.83300949999999,32,1.0,111.50202,1.0
320_1,24.261552999999996,320,3.0,28.634798,4.0
320_2,32.106547000000006,320,2.0,39.382565,2.0
320_3,22.182157,320,4.0,30.506216,3.0
320_4,90.00407299999999,320,1.0,55.679203,1.0
321_1,-6.887379000000001,321,3.0,11.747715,2.0
321_2,15.628909,321,2.0,11.247623,3.0
321_3,70.41784299999999,321,1.0,16.570663,1.0
322_1,15.9623475,322,4.0,28.338358,4.0
322_2,92.6742065,322,1.0,66.33928,1.0
322_3,22.024627,322,3.0,29.243385,3.0
322_4,22.570731,322,2.0,29.884724,2.0
323_1,22.885791,323,2.0,26.659533,4.0
323_2,22.499842499999996,323,3.0,39.46384,3.0
323_3,22.402699000000002,323,4.0,39.64464,2.0
323_4,79.8565155,323,1.0,59.67513,1.0
324_1,27.65895,324,4.0,28.081465,3.0
324_2,33.251265000000004,324,2.0,29.082018,2.0
324_3,32.7235395,324,3.0,27.011726,4.0
324_4,92.5376805,324,1.0,80.20301,1.0
325_1,18.243907,325,4.0,23.18905,4.0
325_2,82.3822465,325,1.0,76.81681,1.0
325_3,29.614947500000003,325,3.0,26.515741,3.0
325_4,33.566325000000006,325,2.0,27.738287,2.0
326_1,29.0583415,326,4.0,22.742022,4.0
326_2,30.625764999999998,326,2.0,26.140741,3.0
326_3,30.554876500000002,326,3.0,26.191275,2.0
326_4,82.132824,326,1.0,79.95589,1.0
327_1,33.928644000000006,327,2.0,10.515011,2.0
327_2,21.594044999999998,327,3.0,9.523966,3.0
327_3,96.462803,327,1.0,29.493042,1.0
328_1,84.012682,328,1.0,79.417465,1.0
328_2,22.833280999999996,328,4.0,20.685286,3.0
328_3,24.2799315,328,2.0,19.906567,4.0
328_4,24.161784,328,3.0,20.86888,2.0
329_1,28.7170265,329,2.0,15.736931,3.0
329_2,26.698017000000004,329,3.0,19.203081,2.0
329_3,77.50406749999999,329,1.0,24.798786,1.0
33_1,53.6487745,33,2.0,67.90622,2.0
33_2,116.64764699999999,33,1.0,120.07391,1.0
330_1,18.564218,330,4.0,17.994688,4.0
330_2,30.420976,330,2.0,27.924448,3.0
330_3,24.991442000000003,330,3.0,28.114906,2.0
330_4,80.342233,330,1.0,74.746414,1.0
331_1,27.076089,331,3.0,29.39857,3.0
331_2,88.1058365,331,1.0,46.155506,2.0
331_3,16.9390335,331,4.0,25.690056,4.0
331_4,74.83655949999999,331,2.0,72.21672,1.0
332_1,77.1102425,332,2.0,56.43953,2.0
332_2,42.109702,332,4.0,47.6943,3.0
332_3,43.93967550000001,332,3.0,41.869793,4.0
332_4,100.5086985,332,1.0,99.96506,1.0
333_1,36.451749500000005,333,3.0,27.750906,2.0
333_2,41.939044499999994,333,2.0,27.505657,3.0
333_3,100.97603749999999,333,1.0,31.429773,1.0
334_1,33.3274045,334,2.0,18.478525,3.0
334_2,33.0963605,334,3.0,19.796854,2.0
334_3,83.46920349999999,334,1.0,27.0318,1.0
335_1,24.7367685,335,2.0,31.183416,3.0
335_2,23.993751999999997,335,3.0,32.927464,2.0
335_3,91.5084845,335,1.0,76.32417,1.0
336_1,65.0486955,336,2.0,59.836964,2.0
336_2,44.076201499999996,336,4.0,52.91582,3.0
336_3,44.404388999999995,336,3.0,51.72572,4.0
336_4,93.1783025,336,1.0,106.38989,1.0
337_1,63.09007249999999,337,2.0,49.620632,4.0
337_2,47.155913,337,3.0,62.53982,2.0
337_3,37.226271999999994,337,4.0,61.85604,3.0
337_4,95.990213,337,1.0,109.27811,1.0
338_1,116.6082645,338,1.0,3.835641,1.0
339_1,60.99229799999999,339,4.0,59.83521,3.0
339_2,62.45732699999999,339,3.0,61.617107,2.0
339_3,73.8861285,339,2.0,59.706303,4.0
339_4,125.06499999999998,339,1.0,87.84067,1.0
34_1,10.477678000000001,34,3.0,17.205292,3.0
34_2,50.2461265,34,2.0,44.785328,2.0
34_3,115.6788375,34,1.0,117.43763,1.0
340_1,50.256628500000005,340,3.0,52.384285,3.0
340_2,60.57221799999999,340,2.0,49.740253,4.0
340_3,49.71577550000001,340,4.0,59.162323,2.0
340_4,129.2526725,340,1.0,65.04268,1.0
341_1,129.96943399999998,341,1.0,122.97213,1.0
342_1,124.70530649999999,342,1.0,121.530495,1.0
343_1,69.420153,343,4.0,64.52559,4.0
343_2,87.1974135,343,2.0,65.924545,3.0
343_3,82.736689,343,3.0,66.38809,2.0
343_4,136.963766,343,1.0,66.81379,1.0
344_1,65.36638099999999,344,1.0,54.030125,1.0
345_1,6.589312499999998,345,2.0,23.691383,3.0
345_2,69.2810015,345,1.0,68.47015,1.0
345_3,4.675322999999999,345,3.0,23.941574,2.0
346_1,27.246746499999997,346,3.0,16.854052,3.0
346_2,29.081971,346,1.0,25.379454,1.0
346_3,20.449327,346,4.0,13.966659,4.0
346_4,28.478106,346,2.0,17.818163,2.0
347_1,15.177323000000001,347,4.0,20.059132,4.0
347_2,32.1616825,347,1.0,31.401731,1.0
347_3,19.527776499999998,347,2.0,21.617765,2.0
347_4,16.4559415,347,3.0,21.179081,3.0
348_1,100.973412,348,1.0,95.61982,1.0
35_1,120.55701650000002,35,1.0,114.11276,1.0
36_1,9.926323,36,3.0,11.893774,3.0
36_2,47.407961,36,2.0,50.06757,2.0
36_3,116.059535,36,1.0,113.6754,1.0
37_1,63.649304,37,2.0,70.85806,2.0
37_2,116.7710455,37,1.0,111.483215,1.0
38_1,122.07718100000001,38,1.0,110.95054,1.0
39_1,124.57928249999999,39,1.0,117.929054,1.0
4_1,99.046295,4,1.0,86.05847,1.0
40_1,36.509510500000005,40,2.0,29.706598,2.0
40_2,124.392872,40,1.0,116.25186,1.0
41_1,124.7578165,41,1.0,105.41644,1.0
42_1,127.942548,42,1.0,117.67348,1.0
43_1,128.06069549999998,43,1.0,123.921684,1.0
44_1,131.29531149999997,44,1.0,119.38197,1.0
45_1,130.4814065,45,1.0,120.865555,1.0
46_1,27.091842000000003,46,2.0,21.648027,2.0
46_2,133.97332149999997,46,1.0,130.7299,1.0
47_1,102.3938075,47,2.0,77.51864,2.0
47_2,134.8817445,47,1.0,135.23067,1.0
48_1,68.7033915,48,2.0,82.342865,2.0
48_2,52.412164000000004,48,3.0,75.04949,3.0
48_3,144.6433535,48,1.0,135.84981,1.0
49_1,78.352104,49,2.0,68.425095,2.0
49_2,151.39351399999998,49,1.0,133.17314,1.0
5_1,103.89559349999999,5,1.0,82.697975,1.0
50_1,1.0153759999999998,50,2.0,1.4994665,2.0
50_2,111.65919699999999,50,1.0,75.004875,1.0
51_1,163.12162249999997,51,1.0,105.315735,1.0
51_2,68.3515745,51,2.0,61.08983,2.0
52_1,36.714299499999996,52,1.0,38.862186,1.0
53_1,42.282985,53,2.0,28.865618,2.0
53_2,43.1047665,53,1.0,45.365734,1.0
54_1,38.048053499999995,54,2.0,23.384325,2.0
54_2,48.893994000000006,54,1.0,47.621548,1.0
55_1,47.048267499999994,55,1.0,39.85327,1.0
56_1,53.8745675,56,1.0,43.195816,1.0
57_1,6.786224999999998,57,2.0,3.072554,2.0
57_2,49.106659500000006,57,1.0,53.14426,1.0
58_1,51.39346999999999,58,1.0,36.162266,1.0
59_1,52.002585999999994,59,1.0,48.013348,1.0
6_1,120.9455905,6,1.0,95.22693,1.0
60_1,54.2473885,60,1.0,47.885204,1.0
61_1,28.606755500000002,61,2.0,33.088055,2.0
61_2,57.37173349999999,61,1.0,58.333263,1.0
62_1,54.709476499999994,62,1.0,50.66241,1.0
63_1,54.452177500000005,63,1.0,46.633305,1.0
64_1,58.5742125,64,1.0,60.923744,1.0
65_1,54.404918499999994,65,1.0,54.068516,1.0
66_1,56.108868,66,1.0,56.51253,1.0
67_1,53.535878,67,1.0,48.03819,1.0
68_1,56.3845455,68,1.0,49.62562,1.0
69_1,54.071479999999994,69,1.0,49.372215,1.0
7_1,132.17747949999998,7,1.0,129.38744,1.0
70_1,56.597211,70,1.0,63.912582,1.0
71_1,40.098569,71,2.0,24.540087,2.0
71_2,71.804107,71,1.0,76.35464,1.0
72_1,35.0444815,72,2.0,14.15173,2.0
72_2,74.83130849999999,72,1.0,68.36275,1.0
73_1,58.225021,73,1.0,59.378536,1.0
73_2,51.0337765,73,2.0,51.97801,2.0
74_1,67.209482,74,1.0,53.656063,2.0
74_2,66.196039,74,2.0,53.67351,1.0
75_1,74.7525435,75,2.0,58.592014,1.0
75_2,74.881193,75,1.0,58.59195,2.0
76_1,68.438216,76,2.0,57.28345,1.0
76_2,74.482117,76,1.0,57.191875,2.0
77_1,63.3263675,77,1.0,52.897762,1.0
